Sample.number,AceticAcid,Creatinine,Succinate,Acetaminophen,CitraconicAcid,L-Glycine,BenzoicAcid,L-Phenylalanine,L-Methionine,GlycolicAcid,L-GlutamicAcid,2-AminoAdipicAcid,3-PhosphoglycericAcid,L-Proline,KynurenicAcid,L-Arginine,D-Sorbitol,L-Ornithine,MandelicAcid,GlutaricAcid,Xylitol,Phenethylamine,L-Glutamine,3-PhenylPropionicAcid,Malonate,Propionate,L-Tyrosine,Threitol,L-Serine,L-Citrulline,trans-4-Hydroxy-L-Proline,L-Alanine,D-Mannose,Azelaic Acid,3-Hydroxybutyrate,2-MethylglutaricAcid,L-Tryptophane,L-Lysine,Spermidine,Butyrate,GABA,L-Arabitol,Galactitol,Dihydroxyacetone-phosphate,Dimethylamine,L-Anserine,Cytosine,Retinal,5-AminoValericAcid,PropyleneGlycol,Acetoacetate,2-Propanol,PhenylglyoxylicAcid,N-AcetylneuraminicAcid,L-Isoleucine,UrocanicAcid,4-HydroxyphenylAceticAcid,LinoleicAcid,N-Acetyl-L-AsparticAcid,MethylmalonicAcid,L-Valine,OleicAcid,HomovanillicAcid,IsovalericAcid,alpha-HydroxyisobutyricAcid,Acetone,O-Acetyl-L-Carnitine,PhosphoglycolicAcid,Dihydrothymine,D-Galactosamine,ThreonicAcid,IsocitricAcid,Ethanolamine,Putrescine,Lactose,Glycerol,Taurine,AscorbicAcid,PyroglutamicAcid,Indoxylsulfate,"1,3-Diaminopropane",L-Carnosine,Levoglucosan,Myo-Inositol,1-Methylhydantoin,NADP,Trimethylamine,4-EthylPhenol,TMAO,CholineChloride,Lactate,D-GluconicAcid,Creatine,Citrate,D-Fructose,Hypotaurine,D-Fucose,3-Methylxanthine,L-Cysteine,PimelicAcid,L-Aspartate,QuinolinicAcid,L-Arabinose,L-Histidine,D-Glucosamine,L-Threonine,Valerate,Beta-Alanine,gamma-LinolenicAcid,GlutaconicAcid,HippuricAcid,trans-FerulicAcid,3-MethyladipicAcid,Trigonelline,L-Glutathione-oxidized,VanillicAcid,Sarcosine,Glycerophosphocholine,SyringicAcid,Canthaxanthin,Coenzyme-Q10,D-GalacturonicAcid,L-Rhamnose,DehydroAscorbicAcid,D-GlucuronicAcid,GlycericAcid,SaccaricAcid,Glycogen,MalicAcid,L-Glutathione-reduced,2-Deoxycytidine,AdipicAcid,2-Deoxyguanosine,L-Leucine,Methanol,Methylguanidine,1-Methyl-L-Histidine,Dimethylsulfone,3-Methyl-L-Histidine,GuanidinoaceticAcid,L-Cystine,LevulinicAcid,GTP,2-Oxoglutarate,Betaine,Formate,2-PhosphoglycericAcid,D-Maltose,UDPG,StearicAcid,dAMP,Phosphocholine,N-Acetylglycine,Biliverdin,D-Xylose,D-Glucose-6-Phosphate,DocosahexaenoicAcid,NicotinuricAcid,S-Acetamidomethylcysteine,L-Asparagine,D-Glucose,Trans-AcotinicAcid,beta-HydroxyisovalericAcid,Uracil,D-Ribose,UMP,Methylamine,Dimethylglycine,L-Carnitine,EthylmalonicAcid,UTP,2-HydroxyphenylAceticAcid,4-AminoHippuricAcid,PantothenicAcid,beta-Carotene,7-Methylxanthine,TartaricAcid,2-PicolinicAcid,NAD,D-Galactose,3-HydroxyphenylAceticAcid,UDP,"D-Ribulose-1,5-bisphosphate",Chlorophyll-a,Phosphoenolpyruvate,Pyrocatechol,Uridine,Pyruvic-Acid,Cadaverine,SebacicAcid,GMP,2-Oxobutyrate
Sample_5001,0.02001794,0.0147784,0.00644675,0.00504063,0.00440624,0.00435295,0.00350866,0.00350419,0.00340758,0.00256217,0.00245865,0.00239786,0.0022069,0.00200079,0.00182899,0.00182888,0.00181678,0.00158725,0.00152052,0.00143121,0.00136491,0.00134264,0.00132734,0.00132697,0.00128716,0.00122652,0.00118602,0.00116438,0.00112308,0.00097149,0.00095923,0.00094256,0.00092019,0.00089893,0.00086823,0.00086664,0.0008323,0.00082093,0.00081815,0.00079295,0.00075789,0.00068989,0.00067619,0.00065372,0.0006279,0.00058589,0.00058076,0.00056203,0.00052516,0.00050621,0.00049512,0.000452,0.00043693,0.00035771,0.00035311,0.00033165,0.00033108,0.00032628,0.00030292,0.0002433,0.00021664,0.00020596,0.00019227,0.00018684,0.00017148,0.00013587,9.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5002,0.00151215,0.03128126,0,0,0,0,0.0030524,0.00073341,0,0.00095525,0.00143992,0.00076799,0,0.00268441,0,0.0013359,0,0.00131409,0,0,0.0019614,0.00091342,0,0.00056148,0.00263046,0.00050013,0,0.00099423,0,0.00146822,0,0,0,0,0.00040947,0,0,0,0,0,0.00067622,0.00191785,0.00050561,0.00035396,0.00058356,0,0,0.00021919,0.00092163,0.00053106,0.00023245,0.00140124,0,0.00043911,0,0,0.00035967,0,0.00032077,0.00022553,0,0,0.00020094,0,0.00017229,0,0,0.00922778,0.00260751,0.00204716,0.00171516,0.00152492,0.00141263,0.00139763,0.00135634,0.00109224,0.00109056,0.00106251,0.00101102,0.0008025,0.00079176,0.0007796,0.00073337,0.00064238,0.0005142,0.00040869,0.00040224,0.0003772,0.00034808,0.00014572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5003,0.0034921,0.00479252,0,0,0,0.0009653,0,0,0,0,0,0,0,0,0,0.00222725,0.00171204,0,0,0,0.00165363,0,0,0,0,0,0,0.00081791,0,0,0,0.00064827,0,0,0.00932327,0.00052634,0,0,0,0,0,0.00586962,0.00330226,0,0.00020511,0,0,0,0,0.00039456,0,0.01574152,0,0,0,0,0,0,0,0,0,0.00029736,0,0,0.00018325,0,0,0.00724428,0.00956014,0,0,0,0,0,0.00056121,0,0.00135675,0,0,0,0,0,0.0017039,0,0,0,0,0.00144221,0.00053999,0,0.01604283,0.00187003,0.00185543,0.00098036,0.00072895,0.00071258,0.00069219,0.00032942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5004,0,0.02691817,0,0.0023497,0,0,0.00138275,0.00173116,0,0,0.0033761,0.0024195,0.00198018,0.00230063,0,0.0012165,0.00097472,0.00175943,0.00042537,0.00051774,0.00085057,0.00078084,0,0.00144312,0,0.00036059,0.0004791,0.00209074,0,0,0.00100683,0,0.00125508,0,0.00069564,0.00052846,0.00050541,0,0,0,0.00064073,0,0.00030188,0.00046314,0.00072005,0.00032277,0,0.00022655,0,0.00030704,0.00039588,0.00042285,0,0.00024906,0.00031228,0.0004559,0.0005123,0,0,0,0,0.00039678,0.00025256,0,0,0,0.00014044,0.0116819,0,0,0.00134562,0,0.00125712,0.00095836,0.00084787,0,0,0,0,0.00160026,0,0.00049767,0,0.0013908,0,0,0,0.00062316,0.00112437,9.93E-05,0,0,0,0,0,0,0.00053735,0,0.00190275,0.00114155,0.0010477,0.00089714,0.0007994,0.00076369,0.00074846,0.00059751,0.00055696,0.00050111,0.00048519,0.00048436,0.00048318,0.00048111,0.00047788,0.00043332,0.00039157,0.00031104,0.00022871,0.00020208,0.00019244,6.76E-05,3.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5005,0,0.02356845,0,0.0003341,0,0.00102667,0.00059576,0.00089576,0,0,0.0023819,0.00128486,0.00128141,0.00203436,0,0.00244489,0,0.00231376,0,0,0.00103933,0.00098084,0,0.00049055,0,0,0,0.00102441,0.00173766,0.00175169,0.00094013,0.00066324,0,0,0,0,0.00052283,0,0.00073565,0,0,0.00082744,0,0.00033268,0.00083322,0,0,0.00030728,0.00054802,0,0.00019795,0.00022764,0,0,0.00025619,0,0.00072394,0.00041383,0.00037645,0,0,0.00038334,0,0,0.00017689,0,0.00014174,0,0,0,0.00186412,0.00173103,0,0.00050492,0.00184401,0,0.00167389,0,0.00120031,0.00073433,0.00104212,0.00077694,0,0,0,0,0,0,0.00123814,0.00024527,0,0.00071984,0.00230063,0.00050708,0.00113153,0.00092401,0.0010725,0,0,0,0.00124234,0,0.00169269,0,0,0.00062627,0,0.00089804,0,0,0.00210443,0,0,0,0,0,0,0,0,4.55E-05,7.47E-05,0.00278191,0.00156448,0.0015358,0.00152008,0.00138212,0.00124902,0.00110622,0.00073529,0.00073449,0.00064924,0.00059331,0.00050168,0.00031865,0.00031752,0.00031733,0.00031558,0.00018135,0.00017549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5006,0.00655605,0.0203325,0,0,0,0.00310814,0.00069038,0.00059736,0,0,0.00206398,0.00114643,0.00197227,0.00219824,0,0.00200544,0.00094787,0,0,0,0.00175948,0.00048015,0.0020054,0.00041404,0,0,0,0.00152764,0.00375831,0.00166702,0,0.00083964,0,0.00059318,0,0,0,0.00109366,0.00057192,0,0.00041571,0,0.00034569,0.00033628,0.00068266,0,0,0.00025124,0.00056152,0.00041566,0,0.00056331,0,0.00034502,0.00029405,0,0.00040246,0.00032235,0.00035001,0.00041532,0,0,0,0,0.00023941,0.00011648,0.00022703,0.00459834,0.00142001,0,0.00209779,0.00125899,0.00077039,0,0.00150947,0.00062005,0.00142645,0.00063101,0,0,0.0006717,0,0,0,0,0,0,0,0.00054386,0.00014668,0.00226653,0,0.00249431,0,0.00105905,0,0,0,0,0,0,0,0.00182853,0,0,0.00144658,0.00049913,0,0,0,0.00095997,0,0,0,0,0,0,0,0,0,5.63E-05,0,0.00175418,0,0,0,0,0,0,0,0,0.00043876,0,0,0.00039686,0.00026128,0,0.00012618,0,0.00187976,0.00107919,0.00101055,0.00077344,0.0005135,0.00029833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5007,0.00278422,0.03025949,0.00033596,0,0,0,0.00298753,0,0,0,0.00137362,0.00192974,0.00226003,0.00249826,0.00062235,0.00149343,0,0,0,0,0.00130512,0.00075576,0,0.00073675,0,0,0.00027025,0.00071421,0.00179019,0.00183001,0.0008266,0,0,0,0,0,0.0007985,0,0.0010543,0,0.00049722,0.00106452,0.00042295,0.000336,0.00086328,0.00082793,0,0.00012958,0.00071105,0.0004095,0,0.00038642,0,0,0.00031613,0,0.00046899,0.00045613,0,0.00045144,0,0.00034669,0,0.00018975,0.00020243,0.00014314,9.68E-05,0.00687208,0.00089524,0.00216695,0.00203983,0.00219092,0,0.00052511,0.00165252,0.0009247,0,0,0.00111091,0.00059175,0.0013481,0.00049564,0.00077753,0,0.00031496,0,0,0,0.00162766,0.00034795,0,0,0.00097612,0.00207252,0,0.00148076,0.00088421,0,0,0,0.00101508,0,0.00201746,0,0.00116149,0,0,0.00170681,0,0.00066067,0.00088417,0,0,0.00044058,0.00052869,0,0,0,0,9.72E-05,6.37E-05,0,0.00168568,0,0.00096902,0.00137146,0,0.00082221,0.00148273,0,0,0.00068323,0,0.00024874,0.0002761,0.00032105,0,0.00023494,0,0,0.00098658,0.0003776,0,0.00060175,0,0.00164858,0.00118611,0.00076413,0.00054076,0.00053364,0.00043183,0.00042184,0.0004078,0.00033958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5008,0.00312026,0.03690769,0.00068822,0,0.00077345,0,0.00300934,0,0,0,0.00159198,0.00150696,0,0.0015695,0.00076368,0.00078334,0,0.00205104,0,0,0.00130373,0.0007941,0,0.00042786,0,0,0,0.00144501,0,0.00136113,0,0,0,0,0.00057168,0,0.00072919,0,0.00085751,0,0,0,0,0.00053465,0.00125723,0.00041819,0,0,0,0,0.00018843,0.00036521,0,0.00027991,0.00024297,0.00048027,0,0,0.00032344,0.00035145,0,0.00041468,0,0,0.00018193,0.00011454,9.77E-05,0.00675987,0,0,0.00101669,0.00208468,0,0.00093049,0.00192911,0,0.00126686,0,0.00161552,0.0009282,0.00133709,0.0023411,0,0.00090484,0.00034189,0,0,0,0.00224097,0.00011554,0,0,0,0.00229208,0.00091258,0.00195798,0.00091161,0,0.00332629,0,0.00260146,0,0.00207329,0,0.00076912,0.00089812,0,0.0023305,0,0.00182995,0,0.00032748,0,0,0.00049094,0,0,0.00039229,0,5.53E-05,6.26E-05,0.00274601,0.00172259,0,0,0,0.00157917,0.00092554,0,0,0,0.0005334,0.00052268,0,0,0.00031735,0,0.0003126,0,0,0.0005853,0,0.00070064,0,0.00042581,0.00078688,0,0.00075342,0,0.00052822,0,8.04E-05,0.00037602,0.00049012,0.00130347,0.0011057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5009,0.01177577,0.01513793,0.0005608,0,0.00113499,0.00283395,0.00173519,0,0,0,0,0.00084158,0,0.00131404,0,0.00196716,0,0,0,0,0,0,0.00148898,0.00051398,0.00105966,0,0.00049986,0.00249974,0,0.00151315,0,0,0.00122138,0,0,0,0.00100437,0,0,0,0,0,0,0,0.00064528,0,0,0,0,0.0020383,0,0.00029787,0,0,0,0,0,0,0,0,0,0.0001843,0.0007827,0,0.00017199,0,0.00010637,0.00616611,0,0.00181373,0.00092119,0,0,0,0,0,0.00342737,0.00062903,0,0,0.0011303,0,0.00081716,0,0,0,0,0,0.00137303,0,0,0,0.00388017,0,0,0,0.00057481,0,0,0,0,0,0.00132128,0.00099372,0.00086374,0,0,0,0,0.00073142,0.00032936,0.00030744,0,0,0,0,0,0,0,4.73E-05,0,0,0,0,0,0,0,0.0012995,0,0,0,0,0,0,0,0,0,0.00020265,0,0.00144456,0.00064438,0,0,0,0.00018165,0.00154099,0,0,0,0,0.00039223,0,0,0,0,0,0.00026609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5010,0.0101846,0.02316394,0,0.0017483,0,0.0076214,0.00254278,0.00056257,0,0,0.00097002,0.00095142,0.00201376,0.00168466,0,0.00202287,0.0009777,0.00121243,0,0.00095421,0.00063961,0.00134028,0.00148896,0.00070396,0.00114094,0,0.00055157,0.00171295,0.00464762,0.00207604,0.00126894,0.00115335,0,0,0,0.00045932,0.00093556,0,0,0,0,0,0.00063784,0.00037197,0.00078155,0.0005521,0,0,0.00051882,0.00026986,0,0.00029871,0.00044397,0.00033562,0.00027376,0.00040384,0.00055622,0.00040143,0,0,0,0.00048652,0.00032061,0,0.00021413,0,8.13E-05,0.00612245,0.00079444,0,0.00191473,0.00086335,0.00074603,0,0.00148897,0.00081721,0.00057187,0.00096444,0.00151452,0,0.00118734,0,0,0.00048109,0,0,0,0,0.0042144,0.00029025,0,0,0.00134086,0,0,0,0.00084109,0,0.00195705,0,0,0,0.00108631,0,0.00082298,0.00213648,0.00044256,0.00042561,0,0,0.00169834,0.00024332,0,0.000625,0,0,0,0,0,5.45E-05,5.24E-05,0,0.00157728,0,0,0.00133707,0,0,0,0,0.00052619,0,0.00035046,0,0.00035544,0.00030168,0,0,0,0,0.00096699,0.00041698,0,0,0,0.00107606,0,0,0,0,0,0.00013064,0,0.0004317,0,0.00098163,0,0.00073038,0.00037635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
