Taxonomy_ID,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Actinobacteria_1663,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,,Bifidobacterium longum
Actinobacteria_1680,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,,Bifidobacterium bifidum
Actinobacteria_1724,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,,Bifidobacterium adolescentis
Actinobacteria_1743,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,,Bifidobacterium catenulatum
Actinobacteria_417,Bacteria,Actinobacteria,Terrabacteria group,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackia heliotrinireducens,,Slackia heliotrinireducens
Actinobacteria_425,Bacteria,Actinobacteria,Terrabacteria group,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,,Collinsella aerofaciens
Actinobacteria_474,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Bacteroidetes_498,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,,Odoribacter splanchnicus
Bacteroidetes_520,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,,Bacteroides stercoris
Bacteroidetes_526,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,,Bacteroides uniformis
Bacteroidetes_537,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,,Phocaeicola vulgatus
Bacteroidetes_545,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,,Phocaeicola dorei
Bacteroidetes_551,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola salanitronis,Phocaeicola salanitronis DSM 18170,Phocaeicola salanitronis DSM 18170
Bacteroidetes_638,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella copri DSM 18205,Prevotella copri DSM 18205
Bacteroidetes_645,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bryantii,,Prevotella bryantii
Bacteroidetes_740,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron VPI-5482
Bacteroidetes_754,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,,Bacteroides caccae
Bacteroidetes_772,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,,Bacteroides xylanisolvens
Bacteroidetes_789,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus,Sodaliphilus pleomorphus,,Sodaliphilus pleomorphus
Bacteroidetes_794,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,Barnesiella viscericola DSM 18177,Barnesiella viscericola DSM 18177
Bacteroidetes_847,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,,Parabacteroides merdae
